f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,f200,f201,f202,f203,f204,f205,f206,f207,f208,f209,f210,f211,f212,f213,f214,f215,f216,f217,f218,f219,f220,f221,f222,f223,f224,f225,f226,f227,f228,f229,f230,f231,f232,f233,f234,f235,f236,f237,f238,f239,f240,f241,f242,f243,f244,f245,f246,f247,f248,f249,f250,f251,f252,f253,f254,f255,f256,f257,f258,f259,f260,f261,f262,f263,f264,f265,f266,f267,f268,f269,f270,f271,f272,f273,f274,f275,f276,f277,f278,f279,f280,f281,f282,f283,f284,f285,f286,f287,f288,f289,f290,f291,f292,f293,f294,f295,f296,f297,f298,f299,f300,f301,f302,f303,f304,f305,f306,f307,f308,f309,Age,Sex,Class
0.11,0.03,0,0,0,1.72,0,142.73,4025.85,-13.93,-4.63,0.32,4.88,0.09,6.97,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.02,3.25,0.02,0,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0.28,0,0.03,0.04,-0.05,-0.02,0,0.02,0.25,24.38,2.36,0,0,1,3.08,0,0.15,0.51,0,3.57,0.67,0.03,1121929.97,1.27,3.07,0.08,0.02,143.92,12.31,11.31,344.05,1.22,6.22,1.43,0.04,0,0.33,0.05,11.91,0.08,7.37,6.87,4.05,-4.09,-0.82,-3.2,-2.26,1.07,1.25,0,-0.41,-0.15,0.09,-0.38,0,-0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.36,2.48,6.97,88200,99.99,0,0,0,0,0,0,0,0,0,0.01,-909.91,-15668.34,-4095.53,-7548.93,-16227.31,-34133.27,-49661.89,-41663.4,-241725.68,-833018.42,-8190.64,-2553.75,-634.26,-139.38,27.28,24.6,55.82,25.81,38.64,31.78,0.55,12.14,4.59,13.85,47.8,177.47,383.73,411.42,2226.33,6201.07,9.59,161.23,46.37,94.08,231.19,508.45,929.82,1180.49,6317.08,20962.68,-3662971172,-3921886796,-4246923488,-4710207569,-5462151645,-6815544970,-9281553236,-14188716469,-24160461674,-44632642488,12663,6779.93,3671.7,2036.84,1181.64,737.76,501.96,383.36,326.15,301.01,527.72,2113.76,8230.03,31208.72,112915.16,378752.5,1163529.95,3183399.97,7809947.99,17640407.69,12496.83,33860.99,94728.24,260822.9,700476.58,1805906.56,4374263.84,10157554.07,22376793.83,47449352.75,100,0,0,0,0,0,0,0,0,0,0,0.01,0.08,0.03,0.05,0.09,0.17,0.24,0.17,0.36,0.52,-14213.89,-5717.36,-2225.49,-1018.92,-340.89,-224.64,-123.06,-114.55,-91.4,-51.05,0,0,0,0,0,0,0,0,0.02,0.05,0,0,0,0,0,0,0.01,0.01,0.05,0.17,-302592.15,-357092.44,-419022.08,-497277.95,-611123.15,-802017.05,-1140125.8,-1810101.3,-3187727.11,-6068660.67,4286.67,2529.44,1484.13,880.72,541.25,355.22,252.46,200.39,176.43,167.92,0.14,0.55,2.12,8.03,28.99,97.08,297.83,812.67,1987.82,4475.81,3.12,8.71,24.28,66.7,178.79,460.63,1130.29,2622.03,5765.39,12188.56,64,1,0
0.11,0.03,0,0,0,2.43,0,132.18,3766.25,-8.84,-3.67,-0.13,3.39,0.05,11.28,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.02,3.04,0.02,0,0.03,0.02,0,0.03,0.03,0,0.03,0.05,0.27,0,0.04,0.06,-0.06,-0.02,0,0.02,0.3,22.69,2.35,0.01,0,1,1.47,0,0.24,0.51,0,2.22,0.33,0.06,2072132.62,1.44,3.11,0.01,0,17.47,14.51,6.16,1110.94,1.25,5.12,1.45,0.18,0.05,0.6,0.07,16.9,0.1,7.27,7.52,3.42,-2.8,-0.62,-5.04,-1.52,1.46,0.78,0.22,0.67,0.1,-0.87,-0.25,0,-0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.37,3.31,11.28,88200,100,0,0,0,0,0,0,0,0,0,0,-63.01,-395.07,-2429.41,-1130.02,-536.23,-6279.02,-15575.02,-7112.16,-131216.33,-142631.5,-8659.64,-2468.32,-577.27,-175.68,20.88,60.85,43.85,37.44,32.12,22.11,0.04,0.69,3.64,4.68,7.28,27.27,257.27,157.89,1846.96,1692.51,0.78,10.48,27.85,21.36,13.56,67.47,378.76,241.7,3132.64,2920.29,-2846635907,-3054346860,-3317586698,-3696848416,-4318288177,-5444142542,-7498768802,-11596896849,-19931364100,-37037592553,12427.85,6661.14,3611.09,2005.32,1164.65,728.03,495.92,379.18,322.88,298.19,466.33,1857.13,7267.9,27404.17,98832.18,330793.68,1014408.05,2765967.28,6754713.03,15196276.72,10465.85,29149.29,82604.5,227615.1,609896.64,1569758.39,3861777.76,8960502.8,19672177.87,41501580.32,100,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.02,0.02,0.07,0.12,0.07,0.38,0.38,-14528.98,-5414.45,-2052.86,-1005.25,-387.13,-207.56,-96.1,-114.12,-72.91,-84.4,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0.03,0.02,-288104.36,-340517.87,-400131.86,-475570.34,-585509.15,-770146.65,-1097411.5,-1746386.75,-3081327.17,-5873258.15,4246.69,2509.25,1473.83,875.37,538.36,353.57,251.44,199.68,175.88,167.44,0.14,0.53,2.08,7.86,28.37,94.97,291.25,794.3,1941.36,4367.97,3.03,8.5,23.75,65.28,174.88,450.33,1108.43,2571.03,5650.48,11933.81,64,1,0
0.11,0.06,0,0,0,2.91,0,37.3,1075.58,-6.25,-2.51,0.2,2.59,0.05,12.14,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.12,18.65,0.12,0,0.06,0.15,0,0.06,0.15,0,0.06,0.09,1.62,0.05,0.14,0.16,-0.2,-0.12,-0.03,0.16,0.39,11.39,3.36,0.09,0.06,1,4.17,0,0.69,0.7,0,0.91,0.09,0.15,2050422.54,1.66,3.03,0,0,3.75,66.37,45.3,634.84,1.36,5.76,1.43,10.77,1.76,7.37,0.18,4.37,0.17,6.95,8.99,7.05,0.52,-0.78,-1.23,0.02,-0.09,0.98,0.4,0.36,-0.24,-0.71,0.58,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.93,3.65,12.14,88200,99.99,0,0,0,0,0,0,0,0,0,0,0.78,-13.63,-7.25,-172.8,-345.04,-7252.91,-81535.5,-12358.7,-63584.09,-9898.93,-8622.19,-2524.91,-550.69,-140.49,10.13,43.05,79.89,41.13,19.01,24.02,0,0.05,0.1,1.27,2.58,46.33,1000.66,99.46,572.15,332.12,0.01,0.58,0.72,3.37,5.19,85.11,1673.09,301.8,1300.23,542.7,-791362630.7,-852975900.7,-929258073.3,-1036348221,-1207940609,-1514381862,-2069595903,-3174565514,-5424696291,-10049653429,11239.33,6057.55,3299.96,1840.41,1072.86,672.8,459.59,352.3,300.74,278.42,134.02,530.66,2080.05,7898.33,28584.05,95144.36,290180,792941.7,1943025.95,4380798.03,3014.56,8455.53,23612.86,65201.55,175386.72,456552.85,1096836.79,2543396.11,5616354.65,11848668.14,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0.21,1.04,0.3,0.64,0.2,-13979.86,-5117.01,-1949.47,-906,-384.66,-199.55,-87.36,-114.23,-75.59,-70.01,0,0,0,0,0,0,0.03,0,0.02,0.01,0,0,0,0,0,0,0.05,0.01,0.04,0.02,-220893.2,-262994.19,-310660.68,-370597.91,-457351.63,-602295.12,-858593.21,-1366371.57,-2411366.75,-4598580.28,4031.52,2399.98,1417.51,845.52,521.75,343.58,244.87,194.82,171.88,163.87,0.11,0.43,1.66,6.26,22.62,75.72,232.15,633.41,1549.21,3487.09,2.42,6.79,18.93,52.04,139.4,359.23,881.99,2045.86,4502.11,9507.82,62,1,1
0.1,0.03,0,0,0,2.29,0,109.07,3293.18,-9.35,-3.29,0.05,3.65,0.04,9.56,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,8.3,0.06,0,0.07,0.07,0,0.07,0.08,0,0.07,0.04,0.73,0.02,0.04,0.07,-0.11,-0.02,0,0.03,0.35,22.52,2.86,0.01,0,1,1.78,0,0.2,0.53,0,1.57,0.27,0.14,1612659.19,1.6,3.07,0.04,0.01,84.81,66.51,62.77,746.97,1.36,6.86,1.48,0.07,0,0.4,0.05,8.86,0.08,8.63,11.08,5.78,-4.29,-2.46,-1.95,-1.1,-0.15,1.02,-0.14,-0.58,-1.18,-0.67,0.34,0,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.09,2.87,9.56,88200,100,0,0,0,0,0,0,0,0,0,0,0.56,-118.33,-142.88,-754.77,-1086.65,-9676.18,-42462.37,-15795.77,-38050.63,-163458.6,-8815.97,-2658.03,-666.46,-92.64,10.51,55.19,48.06,29.22,30.81,41.68,0,0.17,0.33,2.89,6.97,69.66,443,237.45,406.12,884.56,0.01,2.12,3.08,10.51,18.52,117.48,527.72,341.91,685.05,3201.94,-2568077671,-2755664746,-2992292620,-3331539093,-3885031240,-4885362820,-6711395250,-10348818085,-17744809406,-32934343300,12332,6612.34,3585.82,1991.81,1157.03,723.35,492.79,376.81,320.9,296.41,410.7,1625.89,6357.14,24060.22,86888.98,290911.01,892861.1,2436761.51,5961387.7,13433968.56,9264.38,25935.57,72558.42,200126.69,536678.8,1386339.4,3394065.25,7841910.36,17228746.11,36475427.15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.12,0.28,0.13,0.21,0.53,-14724.69,-5612.74,-2215.33,-832.86,-417.25,-268.62,-78.8,-92.01,-84.86,-50.93,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0.01,0.03,-282311.59,-333834.5,-392394.67,-466427.86,-574202.02,-755058.36,-1075569.67,-1710937.7,-3017811.36,-5751446.05,4230.17,2500.84,1469.47,873.04,537.05,352.76,250.9,199.27,175.54,167.14,0.13,0.52,2.03,7.68,27.74,92.87,284.89,777.07,1899.78,4275.75,2.97,8.33,23.22,63.82,171,440.62,1083.7,2512,5520.94,11667.96,62,1,0
0.55,0.22,0,0,0,16.73,0,73.15,640.67,-121.35,-22.8,-0.51,21.08,0.42,83.75,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0.06,19.64,0.13,0,0.16,0.17,0,0.16,0.19,0,0.16,0.07,1.73,0.08,0.04,0.06,-0.07,-0.02,0,0.02,0.94,6.76,6.47,0.45,0.5,0.89,34.99,4.92,0.68,0.55,0.1,0.99,0.23,0.16,2020951.54,1.68,3.04,0.01,0.01,27.87,7.77,7.72,134.11,1.15,6.31,1.35,0.32,0.1,0.86,0.08,5.77,0.1,6.88,8.36,6.31,-3.4,-3.56,0.43,-1.07,-0.42,1.34,0.12,0.36,-1.38,0.06,-0.41,-0.01,-0.02,0,0,0,0.01,0.01,0,0.01,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,59.68,27.91,83.75,143766,98.81,0,0,0,0,0.01,0.01,0.01,0.07,0.17,0.92,-240.74,-531.36,-11754.17,-34179.8,-78701.32,-209150.33,-154360.83,-2047925.21,-3615866,-30398504.81,-9844.03,-1941.63,-96.59,206,148.53,122.76,93.62,64.67,68.28,97.57,0.13,0.64,10.35,53.57,228.85,867.39,983.25,11228.64,39969.54,200920.74,2.1,3.98,56.75,141.87,901.75,2695.3,1526.61,23959.53,87216.67,380449.7,-2496934552,-2649613894,-2807520695,-2977928670,-3183294480,-3436110249,-3847396953,-4461746925,-5811041076,-8462891310,19216.44,10258.92,5498.04,2981.71,1665.08,969.61,616.76,428.84,343.82,304.52,71.03,293.27,1111.6,4372.06,16455.66,62791.3,219086.05,687512.98,1825471.03,4406920.73,1975.19,6460.26,18319.23,46792.54,135345.48,315603.81,989624.83,2274903.28,6775744.08,12378710.24,99.97,0,0,0,0,0,0,0,0,0,0.03,0.03,0.05,0.31,0.75,0.88,1.29,1.03,-2.59,-6.01,-144.06,-19246.12,-6222.33,-2444.45,-1003.01,-445.66,-241.97,-112.04,-48.86,-34.25,-5.76,0,0,0,0,0.01,0.03,0.02,0.3,0.96,5.06,0,0,0,0,0.03,0.1,0.02,0.68,2.54,8.98,-411026.44,-483529.02,-560155.36,-646357.93,-756576.47,-909718.99,-1176257.48,-1641089.14,-2631578.71,-4677431.74,6728.35,3965.63,2305.71,1339.89,794.87,488.82,327.07,238.29,199.06,182.58,0.06,0.24,0.96,3.72,13.93,49.94,162.77,485.3,1253.3,2951.04,1.77,4.98,13.91,38.39,106.48,279.07,725.21,1723.98,4049.12,8615.61,62,1,0
0.04,0.03,0,0,0,0.97,0,21.92,664.71,-1.77,-0.69,0.02,0.69,0.02,3.69,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.04,6.94,0.05,0,0.04,0.05,0,0.04,0.06,0,0.04,0.06,0.6,0.01,0.05,0.08,-0.08,-0.04,0,0.04,0.35,19.8,1.98,0.01,0.01,0.86,14.05,1.57,0.39,0.6,0,0.88,0.08,0.18,1987351.05,1.68,2.93,0,0,4,42.51,40.6,8897.62,1.22,5.73,1.43,1.07,0.47,1.96,0.16,13.18,0.16,6.19,3.94,8.16,0.61,0.81,-0.72,-2.63,-1.64,0.2,1.05,0.65,-1.08,-0.12,0.5,0,-0.01,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.33,1.2,3.69,88201,100,0,0,0,0,0,0,0,0,0,0,0.05,0.61,3.42,-44.93,-24.83,-970.18,-2127.47,-3397.32,-8683.64,-2642.34,-10239.48,-3122.48,-803.91,-242.93,-37.37,9.88,37.01,16.06,8.32,9.08,0,0,0.01,0.42,1.03,13.21,24.46,66.83,116.31,75.48,0,0.01,0.08,1.67,1.78,19.8,72.8,85.15,313.05,150.05,-455908355.4,-492691753.4,-537911756.2,-600872538.4,-701055598,-879171890.9,-1200401199,-1838772129,-3138136167,-5811364410,10731.32,5799.68,3167.17,1770.15,1033.87,649.44,444.28,341.01,291.46,270.15,82.27,324.71,1269.1,4795.02,17294.66,57881.66,177449.3,484117.23,1184436.91,2667778.02,1843.77,5177.06,14435.24,39762.07,106619.81,274695.53,671517.48,1557522.49,3431644.91,7252533.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.08,0.15,0.15,0.21,0.1,-15262.18,-5593.27,-2089.06,-970.07,-384.27,-189.38,-112.46,-93.39,-71.38,-80.52,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0.01,-195174.05,-233232.74,-276247.88,-330204.92,-408104.03,-538005.56,-767395.04,-1221692.07,-2156649.74,-4114398.69,3932.05,2349.49,1391.51,831.76,514.12,339,241.87,192.61,170.06,162.25,0.1,0.39,1.5,5.69,20.54,68.76,210.86,575.15,1406.18,3164.6,2.2,6.17,17.19,47.25,126.59,326.07,801.49,1859.15,4088.83,8638.2,58,0,1
0.63,0.22,0,0,0,4.5,0,129.14,2548.23,-127.18,-16.24,-1.17,17.97,0.07,19.58,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.06,9.9,0.07,0,0.09,0.09,0,0.09,0.13,0,0.09,0.08,0.93,0.02,0.06,0.09,-0.14,-0.03,0,0.04,0.53,13.02,3.69,0.06,0.04,1,8.77,0,0.52,0.53,0.02,1.45,0.2,0.19,1363583.78,1.74,3.02,0.02,0.01,42.36,118.97,106.01,12696.09,1.37,6.25,1.58,0.05,0.01,0.27,0.07,24.06,0.09,7.66,6.43,6.64,-0.37,-0.58,-2.45,-3.22,-1.65,-0.34,0.08,0.01,-1.06,-0.95,0.09,0,-0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.87,5.78,19.58,88201,99.99,0,0,0,0,0,0,0,0,0,0,-6.09,-635.53,-11266.35,-37894.68,-31853.64,-27705.19,-103150.29,-77003.82,-33932.82,-245197.58,-6328.17,-1461.51,13.5,233.67,121.86,70.3,79.83,64.17,24.77,42.76,0.01,0.38,14,79.11,134.21,232.28,992.07,1229.58,763.57,2429.81,0.16,4.29,86.7,155.61,257.25,397.86,1569.98,2312.33,1691.08,9550.23,-1997972474,-2144676285,-2327938480,-2587654661,-3008080431,-3762698802,-5120345595,-7820166872,-13307503377,-24561968479,12097.76,6493.16,3524.18,1958.94,1138.55,712.06,485.14,370.99,315.99,291.95,353.43,1431.75,5381.49,20010.48,72477.64,241989.89,736646.58,2004242.2,4886733.37,10956880.22,7687.85,22051.63,63234.33,168785.2,448929.45,1151025.07,2852177.23,6585309.65,14493185.33,30442625.12,100,0,0,0,0,0,0,0,0,0,0,0,0.02,0.16,0.54,0.36,0.25,0.65,0.49,0.21,0.59,-12023.26,-4330.4,-1445.2,-586.89,-376.7,-191.92,-112.94,-71.39,-60.93,-70.53,0,0,0,0,0,0,0.01,0.01,0.01,0.03,0,0,0,0,0,0,0.02,0.03,0.02,0.11,-268437.95,-317826.57,-373876.54,-444579.88,-547274.26,-719250.22,-1023135.94,-1625136.65,-2863177.09,-5452372.47,4189.19,2479.99,1458.69,867.29,533.81,350.79,249.56,198.25,174.68,166.36,0.13,0.51,1.96,7.43,26.84,89.87,275.41,750.84,1834.59,4125.51,2.87,8.07,22.55,61.76,165.6,426.04,1050.79,2435.95,5355.26,11302.59,58,0,0
0.15,0.06,0,0,0,2.18,0,66.51,1772.75,-22.45,-7.48,0.57,8.45,0.04,8.33,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.07,12.42,0.08,0,0.1,0.11,0,0.1,0.13,0,0.1,0.07,1.1,0.03,0.07,0.09,-0.12,-0.04,0.01,0.06,0.4,17.47,2.77,0.02,0.01,0.57,20.49,8.75,0.42,0.54,0,1.16,0.18,0.16,1457075.54,1.68,3.03,0.02,0.01,29.66,39.26,37.49,1889.26,1.3,5.88,1.51,0.28,0.07,0.69,0.12,14.76,0.14,7.69,9.53,5.47,-1.09,-0.71,-2.25,-1.6,-2.33,-0.51,1.2,0.72,-0.9,-0.51,-0.57,0,-0.01,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.35,2.69,8.33,88201,100,0,0,0,0,0,0,0,0,0,0,0.44,-16.8,-9.51,-927.5,-596.22,-3637.83,-21717.01,-30738.23,-38972.11,-84092.73,-8347.39,-2075.09,-375.93,49.25,9.34,46.62,48.94,37.63,21.67,18.87,0,0.05,0.26,5.28,6.36,26.24,200.13,449.63,488.04,814.2,0,0.6,0.74,8.91,10.4,57.82,304.87,592.23,1168.55,2662.17,-1361644890,-1464288223,-1592283548,-1773403642,-2065700349,-2590008169,-3541924555,-5437053384,-9292932427,-17219625246,11742.33,6312.89,3431.46,1910,1111.49,695.95,474.74,363.45,309.89,286.58,225.79,894.08,3459.21,13091.24,47317.2,158270.87,484882.4,1324310.84,3242642,7310402.35,5070.34,14241.62,39770.4,108709.71,291611.84,751708.15,1832571.17,4251621.33,9370104,19854250.57,100,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.06,0.04,0.1,0.3,0.33,0.25,0.36,-14122.66,-4795.7,-1910.55,-630.8,-441.45,-205.54,-137.41,-61.09,-55.07,-79.92,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0.01,0.01,0.02,0.05,-248119.39,-294429.71,-346948.83,-413138.01,-509174.47,-669913.95,-954342.96,-1517989.46,-2677593.78,-5104212.86,4125.41,2447.64,1442.05,858.51,528.96,347.9,247.7,196.9,173.59,165.4,0.12,0.47,1.82,6.89,24.9,83.34,255.6,697.32,1705.13,3837.94,2.67,7.49,20.86,57.27,153.46,395.25,971.11,2253.1,4955.02,10474.21,58,0,0
0.06,0.03,0,0,0,0.89,0,29.23,861.91,-2.76,-1.16,-0.02,1.06,0.02,4.14,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,3.37,0.02,0,0.02,0.03,0,0.02,0.03,0,0.02,0.03,0.29,0,0.03,0.05,-0.05,-0.02,0,0.03,0.17,20.81,2.47,0.01,0.01,0.88,2.18,0.48,0.38,0.55,0,0.89,0.03,0.14,1348723.24,1.66,3.06,0,0,4.98,3.98,3.98,485.32,1.12,5.84,1.36,0.77,0.22,1.14,0.1,10.91,0.13,6.7,6.31,7.65,-1.15,-1.4,-0.57,-1.42,-2.69,-0.02,1.4,0.04,-0.61,0.88,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.61,1.15,4.14,88201,100,0,0,0,0,0,0,0,0,0,0,0.89,-2.07,3.69,-754.1,-340.58,-921.62,-748.92,-1840.03,-1095.69,-3615.73,-10050.66,-3130.74,-858.66,-157.94,17.39,22.91,-0.01,13.9,14.44,19.94,0,0.01,0.03,2.97,4.04,8.78,15.14,31.25,35.94,112.56,0.03,0.1,0.18,12.35,6.89,15.54,19.68,58.74,43.09,240.85,-581627078,-627938477.1,-685176635.3,-765371373.7,-893699644.1,-1122734361,-1536256276,-2358619604,-4032128439,-7472001348,10955.76,5913.7,3225.98,1801.37,1051.28,659.95,451.22,346.16,295.71,273.94,104.34,414.62,1633.86,6151.6,22171.47,74288.41,227763.43,620888.57,1517539.63,3413372.42,2336.71,6576.55,18498.2,51176.38,136926.02,352313.58,866884.86,2010256.28,4424756.62,9320267.21,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.08,0.05,0.08,0.06,0.13,-15276.62,-5720.63,-2225.68,-860.95,-328.99,-232.49,-163.32,-108.93,-77.35,-71.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,-206314.99,-246144.6,-291210.48,-347828.98,-429711.57,-566442.06,-808018.29,-1286580.74,-2271402.41,-4332989.99,3976.61,2372.13,1403.18,837.96,517.57,341.09,243.25,193.63,170.91,163.01,0.1,0.41,1.58,5.98,21.58,72.26,221.6,604.31,1477.18,3323.47,2.31,6.47,18.06,49.67,133.05,342.67,843.3,1956.07,4300.68,9080.11,51,0,1
0.12,0.05,0,0,0,2.12,0,55.24,1596.23,-8.75,-3.51,-0.33,2.95,0.04,9.67,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.03,4.12,0.03,0,0.04,0.03,0,0.04,0.05,0,0.04,0.03,0.36,0,0.03,0.05,-0.05,-0.02,0,0.02,0.23,17.9,2.87,0.02,0.02,1,2.64,0,0.32,0.53,0,1.08,0.11,0.15,883171.57,1.62,2.9,0.01,0,14.65,6.61,6.54,528.83,1.12,5.88,1.36,0.07,0.01,0.34,0.05,14.84,0.08,8.44,10.93,6.48,-2.01,-1.59,-1.25,-2.11,-1.97,-0.11,0.76,-0.67,-0.55,0.74,-1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.02,2.86,9.67,88201,100,0,0,0,0,0,0,0,0,0,0,0.05,1.97,6.63,-230.53,-2671.28,-13114.21,-4448.71,-6482.15,-42792.42,-30575.01,-8356.66,-2489.7,-660.98,-49.35,40.53,56.95,24.55,22.73,16.53,33.76,0,0.01,0.06,1.77,10.91,84.27,68.65,214.48,376.9,242.69,0,0.08,0.25,3.29,27.59,156.25,135.15,349.52,1076.26,1604.39,-1156413379,-1244170595,-1353133657,-1506569305,-1752998677,-2193603342,-2987887888,-4567254372,-7778590498,-14373714564,11590.81,6235.88,3391.71,1888.87,1099.68,688.79,469.95,359.84,306.87,283.84,201.42,793.41,3079.46,11660.93,41992.16,140253.94,429560.59,1170196.67,2856947.73,6420707.97,4501.93,12666.64,35241.63,96867.28,259214.67,664868.86,1641787.46,3811015.81,8382817.48,17660216.43,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.1,0.23,0.11,0.12,0.34,0.31,-13631.61,-5323.19,-2066.55,-807.44,-392.11,-202.73,-136.83,-85.63,-48.42,-74.48,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.02,0.03,-239730.88,-284740.07,-335744.17,-399953.29,-492998.85,-648573.93,-923450.93,-1467959.39,-2588033.03,-4931593.64,4097.59,2433.5,1434.75,854.63,526.79,346.58,246.82,196.24,173.03,164.89,0.12,0.46,1.78,6.75,24.36,81.54,250.01,681.72,1666.14,3748.15,2.61,7.33,20.42,56.05,150.13,386.6,952.1,2208.85,4856.06,10253.35,51,0,0
